address,id,inspector,comment,number,x,y,visitors,Name
"Nõuni küla, Otepää vald, Valga maakond",151,,,,6445972.427,648524.263,,Nõuni puhkeala supluskoht
"Õisu alevik, Mulgi vald, Viljandi maakond",185,,,,6452403.414,590098.155,,Õisu järve supluskoht
"Orava järv, 64101 Orava küla, Võru vald, Võru maakond",417,,,,6421635.22,704758.46,,Orava järve supluskoht
"Österby küla, Lääne-Nigula vald, Lääne maakond",156,,,EEVLA2023LK0032,6539478.92,471667.23,,Österby sadam
"Otiaru paisjärv, Palupere küla, Jõgeva vald, Jõgeva maakond",254,,,,6522266.26,646766.3,,Otiaru paisjärv
"Paala paisjärv, Viljandi linn",75,Kaili Luik,,,6471267.524,592979.032,150,Paala paisjärv
"Paekna küla, Kiili vald, Harju maakond",191,,,,6570213.027,547782.684,,Paekna Paisjärv
"Paide linn, Paide linn",100,Laura Kikkas,,,6528192.275,591274.05,200,Paide tehisjärv
"Paide linn, Paide linn",100,Laura Kikkas,,,6528423.181,591323.337,200,Paide tehisjärv
"Põltsamaa vald, Jõgeva maakond",87,Margit Matt,ülevoolupump katki ja siin ei ole alates 2020 supluskohta,,6508826,611821,,Pajusi küla Tiigi kinnistu supluskoht- ei ole supluskoht
"Paldiski linn, Lääne-Harju vald, Harju maakond",194,,,,6579894.322,502383.928,,Paldiski Põhjasadama rand
"Ilumetsa metskond 6, Ihamaru küla, Kanepi vald, Põlva maakond",181,,,EEVPO2023KAL0158,6441708.24,671852.19,50,Palojärve (Ihamaru) supluskoht
"Pangodi küla, Kambja vald, Tartu maakond",83,,,,6453413,651112,150,Pangodi järv
"Ranna tee 2, Haapsalu linn, Haapsalu linn",122,Lea Kiis,,EEVLA2023LK0039,6533829.585,472170.112,500,Paralepa rand
"Pariisi küla, Kadrina vald, Lääne-Viru maakond",146,,,VXX2021TU0390,6567366.209,621268.504,20,Pariisi puhkelaagri veehoidla
"Pärnu linn, Pärnu linn",136,Reelika Tammai,,EEVPA2023RT0077,6470421,529073,15000,Pärnu Keskrand
"Pärsti küla, Viljandi vald, Viljandi maakond",203,,,,6476691.288,589700.664,,Pärsti järv
Harju maakond,149,Lea Tiido,,,6554625.606,577405.9,50,Paunküla veehoidla
"Valga linn, Valga vald, Valga maakond",64,Väino Ratasepp,,,6406864.222,621796.615,100,Pedeli paisjärve supluskoht
"22244 Kolkja tee, Kolkja alevik, Peipsiääre vald, Tartu maakond",217,Väino Ratasepp,,,6494833.487,687396.585,,Peipsi järve Kolkja Puhkeala supluskoht
"Mustvee linn, Mustvee vald, Jõgeva maakond",84,Margit Matt,,,6526901.207,670248.886,,Peipsi järve Mustvee linna supluskoht
"Põhja-Tallinna linnaosa, Tallinn",120,Raul Sarri,,,6589608.061,538804.079,10000,Pelgurand / Stroomi rand
"Pihlaspea küla, Haljala vald, Lääne-Viru maakond",147,,,,6609824.592,616279.122,,Pihlaspea küla supluskoht
"Pikajärve küla, Kanepi vald, Põlva maakond",171,Veera Johanson,,,6439611.317,652955.738,50,Pikajärve Cantervilla Mängumaa supluskoht
"Põhja-Tallinna linnaosa, Tallinn",121,Jelena Gromova,,,6593082.201,541030.886,1000,Pikakari rand
"Pirita linnaosa, Tallinn",119,Jelena Gromova,,,6593003.741,547104.133,20000,Pirita rand
"Põltsamaa vald, Jõgeva maakond",88,Kaili Luik,,EEVJO2023KAL0163,6499335.583,615393.177,,Põltsamaa jõel Kamari paisjärve supluskoht
"Põltsamaa linn, Põltsamaa vald, Jõgeva maakond",182,,,EEVJO2023KAL0162,6503117.24,614569.21,,"Põltsamaa jõgi, supluskoht Põltsamaa linn"
"Põlva vald, Põlva maakond",72,Kaili Luik,,,6439276.35,680397.412,100,Põlva linna supelrand
"Porkuni küla, Tapa vald, Lääne-Viru maakond",241,,,VXX2023TU0796,6562916.55,625856.62,,Porkuni järve supluskoht
"Preediku järv, Sääsküla, Järva vald, Järva maakond",196,,,,6558660.841,599177.128,,Preediku järv
"Pühajärve küla, Otepää vald, Valga maakond",63,Väino Ratasepp,,,6436252.262,645775.119,2000,Pühajärve supelrand
"Anija vald, Harju maakond",90,Jelena Gromova,,,6570839.511,594141.589,,Purgatsi järve rand
"Pärnu linn, Pärnu linn",174,,,EEVPA2023RT0076,6472348.07,530214.44,,Rääma väliujula
"Pärnu linn, Pärnu linn",139,Reelika Tammai,"Raeküla rannas on 2022. aastast kehtestatud alaline soovitus mitte supelda, kuna suplusvee kvaliteet on viimase viie aasta hinnangu alusel loetud halvaks. Juhul kui supluskoha suplusvee kvaliteet on klassifitseeritud «halvaks», tähendab see seda, et selles supluskohas on varasematel aastatel esinenud kontrollväärtuste ületusi.",EEVPA2023RT0078,6467334,532782,200,Raeküla rand
"Rahinge küla, Tartu linn",190,Väino Ratasepp,,EEVTA2023MM0070,6473976.022,652549.665,,Rahinge paisjärve supluskoht
"Kirikaia tee, Randvere küla, Viimsi vald, Harju maakond",168,,,,6596070.969,551970.646,100,Randvere rand
"Rannapungerja küla, Alutaguse vald, Ida-Viru maakond",131,,,EEVIV2023RJA0033,6542361.676,682596.337,50,Rannapungerja laagri supluskoht
"Räpina linn, Räpina vald, Põlva maakond",180,Kaili Luik,,EEVPO2023KAL0157,6445270.534,703694.079,30,Räpina paisjärve supluskoht
"Supluskoha, 73506 Rava küla, Järva vald, Järva maakond",94,Geidi Rõõm,,,6555282.472,605766.259,100,Rava paisjärv
"Reiu küla, Häädemeeste vald, Pärnu maakond",192,,,EEVPA2023KK0025,6462872.54,534455.339,,Reiu rand
