,name,type,wikipedia,abbrev,geometry
479,Kansas City Int'l,major,http://en.wikipedia.org/wiki/Kansas_City_International_Airport,MCI,POINT (-94.71591485791544 39.297895826365945)
480,Seeb Int'l,major,http://en.wikipedia.org/wiki/Seeb_International_Airport,MCT,POINT (58.2904804753493 23.588570417585636)
481,Habib Bourguiba Int'l,mid,http://en.wikipedia.org/wiki/Habib_Bourguiba_International_Airport,MIR,POINT (10.75336818505404 35.76071044217803)
482,Marseille Provence Airport,major,http://en.wikipedia.org/wiki/Marseille_Provence_Airport,MRS,POINT (5.221379177203373 43.44106000164679)
483,Quetzalcoatl Int'l,mid,http://en.wikipedia.org/wiki/Quetzalc%C3%B3atl_International_Airport,NLD,POINT (-99.5680081930063 27.449689650831623)
484,Nanning Wuwu Int'l,major,http://en.wikipedia.org/wiki/Nanning_Wuxu_International_Airport,NNG,POINT (108.16801227333096 22.612037054178508)
485,Xoxocotlán Int'l,mid,http://en.wikipedia.org/wiki/Xoxocotl%C3%A1n_International_Airport,OAX,POINT (-96.72179593849754 17.000559256974505)
486,Kahului,mid,http://en.wikipedia.org/wiki/Kahului_Airport,OGG,POINT (-156.4374295813534 20.89328851511117)
487,Will Rogers,major,http://en.wikipedia.org/wiki/Will_Rogers_World_Airport,OKC,POINT (-97.59611775420922 35.39527749117442)
488,Norfolk Int'l,major,http://en.wikipedia.org/wiki/Norfolk_International_Airport,ORF,POINT (-76.2044231712327 36.89823946736742)
489,Palm Beach Int'l,major,http://en.wikipedia.org/wiki/Palm_Beach_International_Airport,PBI,POINT (-80.09018933833873 26.688441666432965)
490,Pengel Int'l,mid,http://en.wikipedia.org/wiki/Johan_Adolf_Pengel_International_Airport,PBM,POINT (-55.199911389290236 5.455999677974393)
491,Bolshesavino,mid,http://en.wikipedia.org/wiki/Bolshoye_Savino_Airport,PEE,POINT (56.019560282029694 57.919771123169134)
492,Penang Int'l,mid,http://en.wikipedia.org/wiki/Penang_International_Airport,PEN,POINT (100.26578638095476 5.292656277904887)
493,Port Harcourt Int'l,mid,http://en.wikipedia.org/wiki/Port_Harcourt_International_Airport,PHC,POINT (6.9498974272319085 5.007003476739435)
494,Port Hedland Int'l,mid,http://en.wikipedia.org/wiki/Port_Hedland_International_Airport,PHE,POINT (118.63179781561529 -20.378127296072336)
495,Pierre Regional,mid,http://en.wikipedia.org/wiki/Pierre_Regional_Airport,PIR,POINT (-100.29264198170532 44.38015346687622)
496,Greater Pittsburgh Int'l,major,http://en.wikipedia.org/wiki/Pittsburgh_International_Airport,PIT,POINT (-80.2561290571918 40.496051891528495)
497,Pago Pago Int'l,mid,http://en.wikipedia.org/wiki/Pago_Pago_International_Airport,PPG,POINT (-170.71330705373444 -14.329064185030566)
498,Birmingham Int'l,major,http://en.wikipedia.org/wiki/Birmingham_International_Airport_(United_Kingdom),BHX,POINT (-1.7337317043445242 52.45290855428381)
499,Roberts Int'l,mid,http://en.wikipedia.org/wiki/Roberts_International_Airport,ROB,POINT (-10.353085186793352 6.241834565545255)
500,Raipur,mid,http://en.wikipedia.org/wiki/Raipur_Airport,RPR,POINT (81.74037759152014 21.18598685614469)
501,El Salvador Int'l,mid,http://en.wikipedia.org/wiki/Cuscatlan_International_Airport,SAL,POINT (-89.0572035692743 13.444748122861604)
502,San Diego Int'l,major,http://en.wikipedia.org/wiki/San_Diego_International_Airport,SAN,POINT (-117.19751102573103 32.73226455701319)
503,San Antonio Int'l,major,http://en.wikipedia.org/wiki/San_Antonio_International_Airport,SAT,POINT (-98.4719699991559 29.526620339131505)
504,Savannah Int'l,major,http://en.wikipedia.org/wiki/Savannah/Hilton_Head_International_Airport,SAV,POINT (-81.20996477509134 32.13564155229021)
505,Antonio Maceo,mid,http://en.wikipedia.org/wiki/Antonio_Maceo_Airport,SCU,POINT (-75.83988776397909 19.972428871762215)
506,Ponciano Arriaga Int'l,mid,http://en.wikipedia.org/wiki/Ponciano_Arriaga_International_Airport,SLP,POINT (-100.93647781626697 22.255713049590337)
507,Sacramento Int'l,major,http://en.wikipedia.org/wiki/Sacramento_International_Airport,SMF,POINT (-121.58789487772277 38.6927238925554)
508,Cibao Int'l,mid,http://en.wikipedia.org/wiki/Cibao_International_Airport,STI,POINT (-70.69417832244676 19.46592191528884)
509,Koltsovo,major,http://en.wikipedia.org/wiki/Koltsovo_Airport,SVX,POINT (60.80580334321738 56.73224561204597)
510,Syracuse Hancock Int'l,major,http://en.wikipedia.org/wiki/Syracuse_Hancock_International_Airport,SYR,POINT (-76.1130789991049 43.13178449437413)
511,Tabriz,mid,http://en.wikipedia.org/wiki/Tabriz_International_Airport,TBZ,POINT (46.244713373574 38.131110768817514)
512,Torreon Int'l,mid,http://en.wikipedia.org/wiki/Francisco_Sarabia_International_Airport,TRC,POINT (-103.39878782857888 25.56321643998958)
513,Tulsa Int'l,major,http://en.wikipedia.org/wiki/Tulsa_International_Airport,TUL,POINT (-95.88988227154202 36.19012756519499)
514,Mcghee Tyson,major,http://en.wikipedia.org/wiki/McGhee_Tyson_Airport,TYS,POINT (-83.98993783275846 35.80574480270883)
515,Ufa Int'l,major,http://en.wikipedia.org/wiki/Ufa_International_Airport,UFA,POINT (55.884077341183726 54.56513235789718)
516,Hewanorra Int'l,mid,http://en.wikipedia.org/wiki/Hewanorra_International_Airport,UVF,POINT (-60.949973772346056 13.736523805048892)
517,Windhoek Hosea Kutako Int'l,mid,http://en.wikipedia.org/wiki/Windhoek_Hosea_Kutako_International_Airport,WDH,POINT (17.463225902813253 -22.486953120204117)
518,Sault Ste Marie,mid,http://en.wikipedia.org/wiki/Sault_Ste._Marie_Airport,YAM,POINT (-84.50060899997175 46.485417510192555)
519,Dawson Cr.,mid,http://en.wikipedia.org/wiki/Dawson_Creek_Airport,YDQ,POINT (-120.18559561910142 55.7394117074557)
520,Edmonton Int'l,major,http://en.wikipedia.org/wiki/Edmonton_International_Airport,YEG,POINT (-113.5844925644056 53.307200161918324)
521,Halifax Int'l,major,http://en.wikipedia.org/wiki/Halifax_International_Airport,YHZ,POINT (-63.514965250167336 44.886545450100954)
522,Kamloops,mid,http://en.wikipedia.org/wiki/Kamloops_Airport,YKA,POINT (-120.44173476396232 50.70519551845913)
523,Sudbury,mid,http://en.wikipedia.org/wiki/Sudbury_Airport,YSB,POINT (-80.79577478171052 46.622750820489316)
524,Saint John,mid,http://en.wikipedia.org/wiki/Saint_John_Airport,YSJ,POINT (-65.89055736811677 45.329230595501656)
525,Prince George,mid,http://en.wikipedia.org/wiki/Prince_George_Airport,YXS,POINT (-122.67401474398616 53.884248575113766)
526,Victoria Int'l,major,http://en.wikipedia.org/wiki/Victoria_International_Airport,YYJ,POINT (-123.43062453952774 48.64052948217902)
527,Zamboanga Int'l,mid,http://en.wikipedia.org/wiki/Zamboanga_International_Airport,ZAM,POINT (122.06243232163732 6.919757748058303)
528,Lanzhou Zhongchuan,mid,http://en.wikipedia.org/wiki/Lanzhou_Zhongchuan_Airport,ZGC,POINT (103.61541536304331 36.50788424612367)
529,Albany Int'l,mid,http://en.wikipedia.org/wiki/Albany_International_Airport,ALB,POINT (-73.80935188431725 42.745661980172905)
530,General Mitchell Int'l,major,http://en.wikipedia.org/wiki/General_Mitchell_International_Airport,MKE,POINT (-87.90210562507438 42.94791987295855)
531,Wang-Chia Tun Airbase,military mid,,ZHHH,POINT (114.24694737615044 30.60171411967017)
532,Sanya Phoenix Int'l,major,http://en.wikipedia.org/wiki/Sanya_Phoenix_International_Airport,SYX,POINT (109.40823949107957 18.309095990859316)
533,Lhasa Gonggar,mid,http://en.wikipedia.org/wiki/Lhasa_Gonggar_Airport,LXA,POINT (90.9005610194027 29.29369361231842)
534,Hotan,mid,http://en.wikipedia.org/wiki/Hotan_Airport,HTN,POINT (79.87230052121915 37.04003635097652)
535,Dresden,major,http://en.wikipedia.org/wiki/Dresden_Airport,DRS,POINT (13.764967144004661 51.125091242887116)
536,Kenitra Air Base,military major,http://en.wikipedia.org/wiki/Kenitra_Air_Base,NNA,POINT (-6.5977536281159965 34.298667363822325)
537,Annemasse,mid,http://en.wikipedia.org/wiki/Annemasse_Aerodrome,QNJ,POINT (6.264910853641591 46.19572832862606)
538,Nogales Int'l,mid,http://en.wikipedia.org/wiki/Nogales_International_Airport_(Mexico),NOG,POINT (-110.97272130167508 31.225537174115924)
539,Strasbourg,mid,http://en.wikipedia.org/wiki/Strasbourg_Airport,SXB,POINT (7.627841966889242 48.54469617217594)
540,Cologne/Bonn,major,http://en.wikipedia.org/wiki/Cologne_Bonn_Airport,CGN,POINT (7.122359755245386 50.87825966294709)
541,Kimhae Int'l,major,http://en.wikipedia.org/wiki/Gimhae_International_Airport,PUS,POINT (128.9488013790388 35.17028406368295)
542,Jeju Int'l,major,http://en.wikipedia.org/wiki/Jeju_International_Airport,CJU,POINT (126.49162940197242 33.52471731503988)
543,Stavanger Sola,major,"http://en.wikipedia.org/wiki/Stavanger_Airport,_Sola",SVG,POINT (5.629810329721799 58.88215648421848)
544,Trondheim Vaernes,major,http://en.wikipedia.org/wiki/Trondheim_Airport%2C_V%C3%A6rnes,TRD,POINT (10.916809524144515 63.472029381716986)
545,Corumbá Int'l,mid,http://en.wikipedia.org/wiki/Corumba_International_Airport,CMG,POINT (-57.663607892554346 -19.01416628855335)
546,Madeira,mid,http://en.wikipedia.org/wiki/Madeira_Airport,FNC,POINT (-16.775637453121334 32.69336428474887)
547,Foz do Iguaçu Int'l,mid,http://en.wikipedia.org/wiki/Foz_do_Igua%C3%A7u_International_Airport,IGU,POINT (-54.48859227356332 -25.597683216210232)
548,Gov. Jorge Teixeira de Oliveira Int'l,mid,http://en.wikipedia.org/wiki/Governador_Jorge_Teixeira_de_Oliveira_International_Airport,PVH,POINT (-63.89846250042134 -8.714424828592882)
549,Bilbao,mid,http://en.wikipedia.org/wiki/Bilbao_Airport,BIO,POINT (-2.9060901167980533 43.30508298111947)
550,Palma de Mallorca,major,http://en.wikipedia.org/wiki/Palma_de_Mallorca_Airport,PMI,POINT (2.729976602006474 39.56577585862541)
551,Tenerife N.,major,http://en.wikipedia.org/wiki/Los_Rodeos_Airport,TFN,POINT (-16.346317567926352 28.487577026773145)
552,Gothenburg,major,http://en.wikipedia.org/wiki/Gothenburg-Landvetter_Airport,GOT,POINT (12.29382690925731 57.685749353487864)
553,Lulea,major,http://en.wikipedia.org/wiki/Lule%C3%A5_Airport,LLA,POINT (22.123027124394543 65.54903624776163)
554,Abu Dhabi Int'l,major,http://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,AUH,POINT (54.646329322555786 24.42722715297642)
555,Mohamed Boudiaf Int'l,mid,http://en.wikipedia.org/wiki/Mohamed_Boudiaf_International_Airport,CZL,POINT (6.621946651812188 36.28344094416007)
556,Aswan Int'l,mid,http://en.wikipedia.org/wiki/Aswan_International_Airport,ASW,POINT (32.82443724629733 23.968276544177797)
557,Rovaniemi,mid,http://en.wikipedia.org/wiki/Rovaniemi_Airport,RVN,POINT (25.829440976045195 66.55955641685094)
558,Cheddi Jagan Int'l,mid,http://en.wikipedia.org/wiki/Cheddi_Jagan_International_Airport,GEO,POINT (-58.25411919258886 6.498552908135722)
559,Cochin Int'l,major,http://en.wikipedia.org/wiki/Cochin_International_Airport,COK,POINT (76.39051985020242 10.155118762811767)
560,Eldoret Int'l,mid,http://en.wikipedia.org/wiki/Eldoret_International_Airport,EDL,POINT (35.223693065830126 0.4050714754603605)
561,Incheon Int'l,major,http://en.wikipedia.org/wiki/Incheon_International_Airport,ICN,POINT (126.45087598079584 37.449208862434624)
562,Federal de Bachigualato Int'l,mid,http://en.wikipedia.org/wiki/Federal_de_Bachigualato_International_Airport,CUL,POINT (-107.46986379289618 24.766804039046114)
563,Benazir Bhutto Int'l,major and military,http://en.wikipedia.org/wiki/Islamabad_International_Airport,ISB,POINT (73.10079364718818 33.607445750752625)
564,Brussels,major,http://en.wikipedia.org/wiki/Brussels_Airport,BRU,POINT (4.484640324082722 50.89729496415108)
565,Abuja Int'l,major,http://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,ABV,POINT (7.2702599397435606 9.00437659781094)
566,Arcata-Eureka,mid,http://en.wikipedia.org/wiki/Arcata-Eureka_Airport,ACV,POINT (-124.10706552013855 40.97192453813144)
567,Austin-Bergstrom Int'l,major,http://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,AUS,POINT (-97.66683676460543 30.202108192074945)
568,Antalya,major,http://en.wikipedia.org/wiki/Antalya_Airport,AYT,POINT (30.80255264394152 36.915323305186774)
569,Belfast Int'l,major,http://en.wikipedia.org/wiki/Belfast_International_Airport,BFS,POINT (-6.2161694373495795 54.66155754701032)
570,Orio Al Serio,major,http://en.wikipedia.org/wiki/Orio_al_Serio_Airport,BGY,POINT (9.698917693997402 45.66549805606945)
571,Kota Kinabalu Int'l,mid,http://en.wikipedia.org/wiki/Kota_Kinabalu_International_Airport,BKI,POINT (116.05108787336903 5.922894454748071)
572,Bengaluru Int'l,major,http://en.wikipedia.org/wiki/Bengaluru_International_Airport,BLR,POINT (77.70955798895749 13.200610806960903)
573,Canberra Int'l,major,http://en.wikipedia.org/wiki/Canberra_International_Airport,CBR,POINT (149.19076053967132 -35.3071855902909)
574,Port Columbus Int'l,major,http://en.wikipedia.org/wiki/Port_Columbus_International_Airport,CMH,POINT (-82.8840306426634 39.9981181922432)
575,Mohamed V Int'l,major,http://en.wikipedia.org/wiki/Mohammed_V_International_Airport,CMN,POINT (-7.581455990257197 33.374727481539615)
576,Düsseldorf Int'l,major,http://en.wikipedia.org/wiki/D%C3%BCsseldorf_International_Airport,DUS,POINT (6.76494446612174 51.2781820420774)
577,Esenboğa Int'l,major,http://en.wikipedia.org/wiki/Esenbo%C4%9Fa_International_Airport,ESB,POINT (32.99301007720143 40.11512782732336)
578,Hamilton Int'l,mid,http://en.wikipedia.org/wiki/Hamilton_International_Airport,HLZ,POINT (175.33622143270816 -37.865841148482694)
579,Rajiv Gandhi Int'l,major,http://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport,HYD,POINT (78.42953613451998 17.235983150747067)
580,John F Kennedy Int'l,major,http://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,JFK,POINT (-73.78632686092955 40.645959558408144)
581,Boryspil Int'l,major,http://en.wikipedia.org/wiki/Boryspil_International_Airport,KBP,POINT (30.89516216155281 50.34090233887696)
582,Khartoum,major,http://en.wikipedia.org/wiki/Khartoum_International_Airport,KRT,POINT (32.550153296632956 15.59222265308578)
583,Dane Cty. Reg. (Truax Field),major,http://en.wikipedia.org/wiki/Dane_County_Regional_Airport,MSN,POINT (-89.34578478944866 43.13630823858675)
584,Minsk Int'l,major,http://en.wikipedia.org/wiki/Minsk_International_Airport,MSQ,POINT (28.034193334637767 53.88937923980054)
585,Palermo,major,http://en.wikipedia.org/wiki/Palermo_International_Airport,PMO,POINT (13.105530988863753 38.186335108489494)
586,T.F. Green,mid,http://en.wikipedia.org/wiki/T._F._Green_Airport,PVD,POINT (-71.4357841445789 41.726001984718906)
587,Southwest Florida Int'l,major,http://en.wikipedia.org/wiki/Southwest_Florida_International_Airport,RSW,POINT (-81.75512314093055 26.527928806765104)
588,Shenyang Taoxian Int'l,major,http://en.wikipedia.org/wiki/Shenyang_Taoxian_International_Airport,SHE,POINT (123.4879744303385 41.634789133958215)
589,Sharjah Int'l,major,http://en.wikipedia.org/wiki/Sharjah_International_Airport,SHJ,POINT (55.52050719488528 25.321196401906818)
590,San Jose Int'l,major,http://en.wikipedia.org/wiki/San_Jose_International_Airport,SJC,POINT (-121.92942898353154 37.36949059089655)
591,John Wayne,major,http://en.wikipedia.org/wiki/John_Wayne_Airport,SNA,POINT (-117.8614892203934 33.6794857329549)
592,Stuttgart,major,http://en.wikipedia.org/wiki/Stuttgart_Airport,STR,POINT (9.193951089455357 48.69010513589129)
593,Nacional Tobías Bolaños,mid,http://en.wikipedia.org/wiki/Tob%C3%ADas_Bola%C3%B1os_International_Airport,SYQ,POINT (-84.13860919715941 9.958278519196229)
594,Shenzhen Bao'an Int'l,major,http://en.wikipedia.org/wiki/Shenzhen_airport,SZX,POINT (113.81585275108512 22.64650771478675)
595,Louisville Int'l,major,http://en.wikipedia.org/wiki/Louisville_International_Airport,SDF,POINT (-85.74170275973673 38.18602071526992)
596,Geneva,major,http://en.wikipedia.org/wiki/Geneva_Cointrin_International_Airport,GVA,POINT (6.107945774236034 46.23100951015795)
597,Lyon-Saint Exupery,mid,http://en.wikipedia.org/wiki/Lyon-Saint_Exup%C3%A9ry_Airport,LYS,POINT (5.075944318134586 45.72101868346691)
598,Kansai Int'l,major,http://en.wikipedia.org/wiki/Kansai_International_Airport,KIX,POINT (135.24445977247638 34.43479416292695)
599,Lisbon Portela,major,http://en.wikipedia.org/wiki/Lisbon_Portela_Airport,LIS,POINT (-9.130694409310712 38.770762342751425)
600,Tancredo Neves Int'l,major,http://en.wikipedia.org/wiki/Tancredo_Neves_International_Airport,CNF,POINT (-43.96358152099491 -19.63278212187474)
601,Bromma,mid,http://en.wikipedia.org/wiki/Stockholm-Bromma_Airport,BMA,POINT (17.945617540614503 59.35559020651122)
602,Juanda Int'l,major,http://en.wikipedia.org/wiki/Juanda_International_Airport,SUB,POINT (112.77703459493297 -7.383578985275999)
603,Astor Piazzolla Int'l,mid,http://en.wikipedia.org/wiki/%C3%81stor_Piazzola_International_Airport,MDQ,POINT (-57.581615093239215 -37.93321612044816)
604,Owen Roberts Int'l,major,http://en.wikipedia.org/wiki/Owen_Roberts_International_Airport,GCM,POINT (-81.35767061622893 19.29591074371222)
605,Zhengzhou Xinzheng Int'l,major,http://en.wikipedia.org/wiki/Zhengzhou_Xinzheng_International_Airport,CGO,POINT (113.84183130284451 34.52630271989567)
606,Dalian Zhoushuizi Int'l,major,http://en.wikipedia.org/wiki/Dalian_Zhoushuizi_International_Airport,DLC,POINT (121.53891378010117 38.96157023002216)
607,Heraklion Int'l,major,http://en.wikipedia.org/wiki/Heraklion_International_Airport%2C_%22Nikos_Kazantzakis%22,HER,POINT (25.17405582432718 35.33690241010455)
608,Tbilisi Int'l,major,http://en.wikipedia.org/wiki/Tbilisi_International_Airport,TBS,POINT (44.964614614166365 41.66944201872605)
609,Cascais,mid,http://en.wikipedia.org/wiki/Cascais_Aerodrome,XXC,POINT (-9.354582402639275 38.72353532083235)
610,Kaohsiung Int'l,major,http://en.wikipedia.org/wiki/Kaohsiung_International_Airport,KHH,POINT (120.34515634215063 22.57170610544221)
611,Sadiq Abubakar III,mid,http://en.wikipedia.org/wiki/Sadiq_Abubakar_III_International_Airport,SKO,POINT (5.200226160326513 12.917482416618078)
612,Mariscal Sucre Int'l,mid,http://en.wikipedia.org/wiki/Mariscal_Sucre_International_Airport,UIO,POINT (-78.48999255457005 -0.1455524084668824)
613,Karachi Civil,mid,http://en.wikipedia.org/wiki/Jinnah_International_Airport,KHI,POINT (67.15212835929466 24.898524368959485)
614,Kishinev S.E.,mid,http://en.wikipedia.org/wiki/Chi%C5%9Fin%C4%83u_International_Airport,KIV,POINT (28.93604875622555 46.93416199003912)
615,Jorge Chávez,major,http://en.wikipedia.org/wiki/Jorge_Ch%C3%A1vez_International_Airport,LIM,POINT (-77.10756569313422 -12.0237161502221)
616,Thunder Bay Int'l,mid,http://en.wikipedia.org/wiki/Thunder_Bay_International_Airport,YQT,POINT (-89.31214212381362 48.37188114925079)
617,Vilnius,major,http://en.wikipedia.org/wiki/Vilnius_International_Airport,VNO,POINT (25.28071644972846 54.64305493075424)
618,Hsien Yang,major,http://en.wikipedia.org/wiki/Xi'an_Xianyang_International_Airport,XIY,POINT (108.75581134215064 34.442939105442214)
619,Del Norte Int'l,mid,http://en.wikipedia.org/wiki/Del_Norte_International_Airport,NTR,POINT (-100.2383941865767 25.859873767729045)
620,Fua'amotu Int'l,mid,http://en.wikipedia.org/wiki/Fua'amotu_International_Airport,TBU,POINT (-175.135635 -21.24861)
621,Esfahan Int'l,mid,http://en.wikipedia.org/wiki/Isfahan_International_Airport,IFN,POINT (51.87639168126809 32.74608053443211)
622,Harare Int'l,mid,http://en.wikipedia.org/wiki/Harare_International_Airport,HRE,POINT (31.1014 -17.9228)
623,Kuwait Int'l,major,http://en.wikipedia.org/wiki/Kuwait_International_Airport,KWI,POINT (47.97148255933165 29.239680058158292)
624,Macdonald-Cartier Int'l,major,http://en.wikipedia.org/wiki/Ottawa_Macdonald-Cartier_International_Airport,YOW,POINT (-75.66489338702053 45.3201348196531)
625,Kabul Int'l,mid,http://en.wikipedia.org/wiki/Kabul_International_Airport,KBL,POINT (69.21007362708741 34.56339788641491)
626,Abidjan Port Bouet,mid,http://en.wikipedia.org/wiki/Port_Bouet_Airport,ABJ,POINT (-3.9322192916763594 5.254398445149204)
627,General Juan N Alvarez Int'l,major,http://en.wikipedia.org/wiki/General_Juan_N._%C3%81lvarez_International_Airport,ACA,POINT (-99.75450856196812 16.761967352779976)
628,Kotoka Int'l,major,http://en.wikipedia.org/wiki/Kotoka_International_Airport,ACC,POINT (-0.1714028556608167 5.606981523811933)
629,Bole Int'l,mid,http://en.wikipedia.org/wiki/Bole_International_Airport,ADD,POINT (38.7931904366343 8.981730275810992)
630,Aden Int'l,mid,http://en.wikipedia.org/wiki/Aden_International_Airport,ADE,POINT (45.030602 12.8278)
631,Adelaide Int'l,mid,http://en.wikipedia.org/wiki/Adelaide_International_Airport,ADL,POINT (138.5321014576991 -34.9405860275154)
632,Almaty Int'l,major,http://en.wikipedia.org/wiki/Almaty_International_Airport,ALA,POINT (77.01204587711747 43.34649431447929)
633,Houari Boumediene,major,http://en.wikipedia.org/wiki/Houari_Boumedienne_Airport,ALG,POINT (3.212073535165055 36.69972066635346)
634,Aleppo Int'l,major,http://en.wikipedia.org/wiki/Aleppo_International_Airport,ALP,POINT (37.22734140578282 36.18462373143136)
635,Sardar Vallabhbhai Patel Int'l,mid,http://en.wikipedia.org/wiki/Sardar_Vallabhbhai_Patel_International_Airport,AMD,POINT (72.62090008843316 23.070745463588118)
636,Cerro Moreno Int'l,mid,http://en.wikipedia.org/wiki/Cerro_Moreno_International_Airport,ANF,POINT (-70.44099085094066 -23.448954524831667)
637,Ashkhabad Northwest,mid,http://en.wikipedia.org/wiki/Ashgabat_Airport,ASB,POINT (58.363965920824604 37.98485343895699)
638,Yohannes Iv Int'l,mid,http://en.wikipedia.org/wiki/Asmara_International_Airport,ASM,POINT (38.90635401363214 15.29361596964986)
639,Silvio Pettirossi Int'l,mid,http://en.wikipedia.org/wiki/Silvio_Pettirossi_International_Airport,ASU,POINT (-57.51390782471363 -25.241659253381577)
640,Bermuda Int'l,mid,http://en.wikipedia.org/wiki/Bermuda_International_Airport,BDA,POINT (-64.70277406865142 32.359173960158074)
641,Surcin,major,http://en.wikipedia.org/wiki/Belgrade_Nikola_Tesla_Airport,BEG,POINT (20.291284594662077 44.81907666544326)
642,Beirut Int'l,major,http://en.wikipedia.org/wiki/Beirut_Rafic_Hariri_International_Airport,BEY,POINT (35.4930853618161 33.825440061866765)
643,Bairagarh,mid,http://en.wikipedia.org/wiki/Bhopal_Airport,BHO,POINT (77.34087147135794 23.285568486980882)
644,Bamako Sénou,mid,http://en.wikipedia.org/wiki/Senou_International_Airport,BKO,POINT (-7.947272269708012 12.539336342586719)
645,Nashville Int'l,major,http://en.wikipedia.org/wiki/Nashville_International_Airport,BNA,POINT (-86.66928673563747 36.13148763616973)
646,Brisbane Int'l,major,http://en.wikipedia.org/wiki/Brisbane_Airport,BNE,POINT (153.1202564188439 -27.38539659390988)
647,Boise Air Terminal,major,http://en.wikipedia.org/wiki/Boise_Airport,BOI,POINT (-116.2218410705487 43.5689592234704)
648,Wiley Post Will Rogers Mem.,mid,http://en.wikipedia.org/wiki/Wiley_Post-Will_Rogers_Memorial_Airport,BRW,POINT (-156.771835 71.289299)
649,Greater Buffalo Int'l,major,http://en.wikipedia.org/wiki/Buffalo_Niagara_International_Airport,BUF,POINT (-78.73199655233083 42.93403374935259)
650,Bulawayo,mid,http://en.wikipedia.org/wiki/Joshua_Mqabuko_Nkomo_International_Airport,BUQ,POINT (28.622552042904037 -20.015568409490825)
651,Brunei Int'l,major,http://en.wikipedia.org/wiki/Brunei_International_Airport,BWN,POINT (114.93311902920937 4.945475282276854)
652,Guangzhou Baiyun Int'l,major,http://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport,CAN,POINT (113.29751655217066 23.3891511573243)
653,Carriel Sur Int'l,mid,http://en.wikipedia.org/wiki/Carriel_Sur_International_Airport,CCP,POINT (-73.06210617462139 -36.7763727437881)
654,Netaji Subhash Chandra Bose Int'l,major,http://en.wikipedia.org/wiki/Netaji_Subhash_Chandra_Bose_International_Airport,CCU,POINT (88.44000101301965 22.645389378506415)
655,Chittagong,mid,http://en.wikipedia.org/wiki/Shah_Amanat_International_Airport,CGP,POINT (91.81471071623834 22.24556585857375)
656,Christchurch Int'l,major,http://en.wikipedia.org/wiki/Christchurch_International_Airport,CHC,POINT (172.53867556522317 -43.48854867841038)
657,Conakry,mid,http://en.wikipedia.org/wiki/Conakry_International_Airport,CKY,POINT (-13.621065625167132 9.574181158500823)
658,Hopkins Int'l,major,http://en.wikipedia.org/wiki/Cleveland_Hopkins_International_Airport,CLE,POINT (-81.83844060640457 41.41119161249661)
659,Alfonso Bonilla Aragón Int'l,mid,http://en.wikipedia.org/wiki/Alfonso_Bonilla_Arag%C3%B3n_International_Airport,CLO,POINT (-76.38507147280909 3.5432863512321924)
660,Cotonou Cadjehon,mid,http://en.wikipedia.org/wiki/Cadjehoun_Airport,COO,POINT (2.383800072435198 6.3582465034691)
661,Ingeniero Ambrosio L.V. Taravella Int'l,mid,http://en.wikipedia.org/wiki/Ingeniero_Ambrosio_L.V._Taravella_International_Airport,COR,POINT (-64.21231576708007 -31.31568116848888)
662,Rafael Nunez,mid,http://en.wikipedia.org/wiki/Rafael_N%C3%BA%C3%B1ez_International_Airport,CTG,POINT (-75.51233495596824 10.444938176491519)
663,Cancún,major,http://en.wikipedia.org/wiki/Canc%C3%BAn_International_Airport,CUN,POINT (-86.87441725066944 21.04019667144003)
664,General R F Villalobos Int'l,mid,http://en.wikipedia.org/wiki/General_Roberto_Fierro_Villalobos_International_Airport,CUU,POINT (-105.969204692629 28.70399849976794)
665,Zia Int'l Dhaka,mid,http://en.wikipedia.org/wiki/Zia_International_Airport,DAC,POINT (90.40492415992367 23.84812432181269)
666,Darwin Int'l,major and military,http://en.wikipedia.org/wiki/Darwin_International_Airport,DRW,POINT (130.8775014367739 -12.40805599665558)
667,Louis Botha,mid,http://en.wikipedia.org/wiki/Durban_International_Airport,DUR,POINT (30.945708194088084 -29.965914250828032)
668,Lubumbashi Luano Int'l,mid,http://en.wikipedia.org/wiki/Lubumbashi_International_Airport,FBM,POINT (27.5292 -11.5908)
669,Saiss,mid,http://en.wikipedia.org/wiki/Sa%C3%AFss_Airport,FEZ,POINT (-4.982146376783026 33.930525184467264)
670,Kinshasa N Djili Int'l,mid,http://en.wikipedia.org/wiki/Kinshasa_International_Airport,FIH,POINT (15.446516207456082 -4.389168821975817)
671,Freetown Lungi,mid,http://en.wikipedia.org/wiki/Lungi_International_Airport,FNA,POINT (-13.200229678648256 8.615423617263689)
672,Sunan,mid,http://en.wikipedia.org/wiki/Sunan_International_Airport,FNJ,POINT (125.67532157120056 39.200177166765556)
673,Vasilyevka,major,http://en.wikipedia.org/wiki/Manas_International_Airport,FRU,POINT (74.46880033990898 43.055452723330326)
674,Sir Seretse Khama Int'l,mid,http://en.wikipedia.org/wiki/Sir_Seretse_Khama_International_Airport,GBE,POINT (25.92438082641467 -24.558071808944057)
