,name,type,wikipedia,abbrev,geometry
196,Podgorica,major,http://en.wikipedia.org/wiki/Podgorica_Airport,TGD,POINT (19.246686861887266 42.367933519542824)
197,Tallahassee Reg.,major,http://en.wikipedia.org/wiki/Tallahassee_Regional_Airport,TLH,POINT (-84.34499539848576 30.395557617693783)
198,Turin Int'l,major,http://en.wikipedia.org/wiki/Turin_International_Airport,TRN,POINT (7.644162303621328 45.19166007346417)
199,Taiyuan Wusu Int'l,major,http://en.wikipedia.org/wiki/Taiyuan_Wusu_International_Airport,TYN,POINT (112.62589153931525 37.754511779151215)
200,Narsarsuaq,mid,http://en.wikipedia.org/wiki/Narsarsuaq_Airport,UAK,POINT (-45.41640089231083 61.16259683373283)
201,U-Tapao,military mid,http://en.wikipedia.org/wiki/U-Tapao_International_Airport,UTP,POINT (101.00020929048034 12.685293091266386)
202,Victoria Falls,mid,http://en.wikipedia.org/wiki/Victoria_Falls_Airport,VFA,POINT (25.846767720882564 -18.099015598368197)
203,Vijaywada,mid,http://en.wikipedia.org/wiki/Vijayawada_Airport,VGA,POINT (80.7973080000675 16.528642778235014)
204,Varanasi,mid,http://en.wikipedia.org/wiki/Varanasi_Airport,VNS,POINT (82.85387419135274 25.449907732982243)
205,Juan Gualberto Gomez,major,http://en.wikipedia.org/wiki/Juan_Gualberto_G%C3%B3mez_Airport,VRA,POINT (-81.43671038506231 23.039542233963147)
206,Villahermosa,mid,http://en.wikipedia.org/wiki/Carlos_Rovirosa_P%C3%A9rez_International_Airport,VSA,POINT (-92.81906758362618 17.993066011311075)
207,Brandon,mid,http://en.wikipedia.org/wiki/Brandon_Airport,YBR,POINT (-99.94589590024634 49.904727941027694)
208,CFB Edmonton,military major,http://en.wikipedia.org/wiki/CFB_Edmonton,YED,POINT (-113.47883905449686 53.67491566186677)
209,Iqaluit,mid,http://en.wikipedia.org/wiki/Iqaluit_Airport,YFB,POINT (-68.53672924418116 63.751152353780704)
210,John C. Munro Hamilton Int'l,mid,http://en.wikipedia.org/wiki/John_C._Munro_Hamilton_International_Airport,YHM,POINT (-79.92642309599673 43.16336053050961)
211,Fort McMurray,mid,http://en.wikipedia.org/wiki/Fort_McMurray_Airport,YMM,POINT (-111.22384004661691 56.65631713909619)
