osm_id,code,fclass,name,x,y
"673618539","2252",pitch,,21.558,42.452
"673618540","2082",school,,21.557,42.452
"673635606","2015",graveyard,,21.538,42.454
"674300654","2251",sports_centre,,21.073,42.691
"674300655","2082",school,"Pandeli Sotiri",21.075,42.698
"674308643","2732",ruins,,21.481,42.466
"674324437","2421",shelter,,21.528,42.491
"674455908","2015",graveyard,,21.150,42.792
"674457005","2015",graveyard,,21.157,42.799
"674457007","2724",memorial,,21.150,42.807
"674458897","2082",school,,21.157,42.798
"674458903","2015",graveyard,,21.167,42.798
"674460610","2015",graveyard,,21.136,42.806
"674466801","2015",graveyard,,21.136,42.806
"674466822","2015",graveyard,,21.130,42.817
"674466832","2015",graveyard,,21.121,42.828
"674833214","2082",school,"Shkolla Fillore Nazim Hikmeti",21.571,42.472
"675060825","2252",pitch,,21.509,42.457
"675060827","2252",pitch,,21.509,42.458
"675715622","2015",graveyard,Varrezat e Dëshmorëve të Fortesës,20.602,42.359
"676109884","2204",park,Parku në Arbëri,21.155,42.673
"677245119","2082",school,"Shkolla Fillore Liria",21.587,42.432
"679772218","2722",museum,Muzeu Etnologjik Emin Gjiku,21.168,42.669
"679772229","2722",museum,Stacion - Center for Contemporary Art Prishtina,21.168,42.668
"681132475","2543",doityourself,Rifa,21.359,42.317
"681132480","2009",courthouse,,21.355,42.321
"681138222","2110",hospital,QKMF Viti,21.361,42.326
"681153103","2008",town_hall,Komuna e Vitisë,21.356,42.314
"681181549","2546",computer_shop,Ec Me Kohen,21.359,42.318
"681181553","2512",clothes,Eleganca Fashion,21.357,42.319
"681181555","2302",fast_food,Besi,21.359,42.317
"681181556","2301",restaurant,Roi,21.358,42.318
"681181564","2501",supermarket,Seba,21.359,42.317
"681181567","2501",supermarket,Rifa,21.359,42.317
"681186482","2252",pitch,,21.374,42.318
"681191324","2204",park,,21.391,42.322
"681191327","2204",park,,21.407,42.327
"681855997","2501",supermarket,ETC,21.364,42.326
"681856009","2252",pitch,,21.365,42.325
"681856010","2501",supermarket,Viva Fresh,21.363,42.324
"681859590","2305",bar,River Bar,21.359,42.318
"681917166","2204",park,,21.361,42.317
"681926356","2204",park,,21.362,42.318
"681926358","2204",park,,21.362,42.317
"682235351","2252",pitch,,20.738,42.344
"682864025","2253",swimming_pool,,21.490,42.380
"682864028","2251",sports_centre,,21.490,42.380
"682864031","2253",swimming_pool,,21.491,42.379
"683123305","2517",shoe_shop,Kema,21.358,42.317
"683123306","2561",hairdresser,Fonex,21.358,42.317
"683135721","2301",restaurant,Oxygen,21.744,42.560
"683188484","2252",pitch,Qerkin Thaqi,20.713,42.501
"683192713","2082",school,"Sh.F.Labinot Hoti",20.720,42.497
"683192714","2252",pitch,,20.720,42.497
"683192987","2082",school,,21.018,42.901
"683222092","2204",park,"Parku Te Izjai",21.360,42.323
"683222526","2301",restaurant,Fshati Turistik Skroma,21.028,42.890
"683222527","2301",restaurant,,21.028,42.890
"683222528","2301",restaurant,Fshati Turistik Skroma,21.028,42.890
"683241214","2405",hostel,,21.027,42.890
"683241219","2732",ruins,,21.022,42.892
"683241220","2732",ruins,,21.022,42.892
"683244346","2732",ruins,,21.023,42.895
"683244347","2732",ruins,,21.023,42.895
"683244348","2732",ruins,,21.023,42.895
"683244349","2732",ruins,,21.023,42.895
"683362067","2732",ruins,,21.033,42.895
"683365321","2732",ruins,,21.020,42.893
"683365323","2732",ruins,,21.023,42.904
"683365324","2732",ruins,,21.023,42.904
"683366061","2732",ruins,,21.040,42.909
"683426192","2732",ruins,,21.023,42.904
"683428454","2405",hostel,,21.027,42.890
"683428455","2405",hostel,,21.027,42.890
"683428456","2405",hostel,,21.028,42.890
"683428457","2405",hostel,,21.028,42.890
"683643768","2252",pitch,,21.590,42.607
"683701522","2723",monument,,21.301,42.323
"683922020","2015",graveyard,,21.572,42.411
"683925574","2252",pitch,,21.536,42.428
"683930625","2253",swimming_pool,,21.453,42.459
"683932390","2202",nightclub,Stop,21.473,42.456
"683932392","2303",cafe,Forum,21.473,42.457
"683932398","2083",kindergarten,Integj,21.472,42.458
"683936350","2301",restaurant,Baresha,21.420,42.481
"684012399","2501",supermarket,Melis n.t.p.sh,20.431,42.724
"684014806","2502",bakery,Genti,20.388,42.714
"684014808","2561",hairdresser,Aldis,20.388,42.714
"684015157","2015",graveyard,,20.334,42.704
"684253684","2305",bar,Kristal,21.470,42.464
"684253686","2512",clothes,Moda Tekst,21.470,42.464
"684263869","2950",tower,,21.466,42.460
"684263871","2204",park,,21.466,42.460
"684306581","2732",ruins,,20.996,42.871
"684677638","2722",museum,Trashegimia Kulturore e Gjilanit,21.469,42.465
"684677639","2601",bank,"Banka Kombetare Tregtare BKT",21.468,42.463
"684677643","2305",bar,Te Papaku,21.471,42.464
"685070012","2252",pitch,,20.717,42.210
"685071208","2082",school,,20.713,42.124
"686129218","2421",shelter,,21.460,42.468
"686129219","2421",shelter,,21.461,42.468
"687137225","2724",memorial,,20.791,42.634
"687496579","2012",community_centre,Shtëpia e Kulturës,20.628,42.256
"687497348","2082",school,"Shkolla Fillore Zenun Çoçaj",20.627,42.256
"687763789","2015",graveyard,Varrezat e Lagjes Rrecaj,20.778,42.733
"688101930","2082",school,Shkolla Fillore e Mesme e Ulët Meto Bajraktari,21.160,42.666
"688966742","2253",swimming_pool,,21.359,42.315
"690262170","2301",restaurant,Cali,20.612,42.438
"691589329","2204",park,,20.742,42.216
"693996117","2252",pitch,,21.232,42.269
"695575563","2724",memorial,,20.657,42.329
"696164639","2724",memorial,Lapidari Arif Spahiu,20.739,42.361
"696272141","2082",school,Dituria,21.232,42.191
