ID,Language,Label,Definition,Description,GovernancelevelID,GovernancelevelLabel,CodelistID,Codelistlabel,ReferenceSource,ReferenceLink,StatusID,Statuslabel,x,y
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hnle,,Hnle,Bodenart Erlenbruchwaldtorf (Hnle) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/L,,L,Bodenart Lehm (L) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Ls,,Ls,Bodenart sandiger Lehm (Ls) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Lt,,Lt,Bodenart toniger Lehm (Lt) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/S,,S,Bodenart Sand (S) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/fSgs,,fSgs,Bodenart grobsandiger Feinsand (fSgs) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/fSms,,fSms,Bodenart mittelsandiger Feinsand (fSms) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/gS,,gS,Bodenart Grobsand (gS) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Ls2,,Ls2,Bodenart schwach sandiger Lehm (Ls2) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,ton: 17 bis &lt; 25; schluff: 40 bis &lt; 50; Sand: 25 bis &lt; 43,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Ls3,,Ls3,Bodenart mittel sandiger Lehm (Ls3) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,ton: 17 bis &lt; 25; schluff: 30 bis &lt; 40; Sand: 35 bis &lt; 53,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
